Shot 1: Jarak=9.14, Desnivel=0.81, Fator=185, Wind=6, Sudut=70.0, Power=3.252688680
Shot 2: Jarak=9.14, Desnivel=0.81, Fator=311, Wind=13, Sudut=70.0, Power=2.864988353
Shot 3: Jarak=9.14, Desnivel=0.81, Fator=74, Wind=13, Sudut=70.0, Power=2.667592039
Shot 1: Jarak=9.14, Desnivel=0.81, Fator=275, Wind=23, Sudut=70.0, Power=3.241511916
Shot 2: Jarak=9.23, Desnivel=0.84, Fator=37, Wind=10, Sudut=70.0, Power=2.650160886
Shot 3: Jarak=9.23, Desnivel=0.84, Fator=314, Wind=10, Sudut=70.0, Power=2.885215897
Shot 4: Jarak=9.23, Desnivel=0.84, Fator=298, Wind=23, Sudut=70.0, Power=2.975585063
Shot 5: Jarak=9.23, Desnivel=0.84, Fator=298, Wind=24, Sudut=70.0, Power=2.976716074
Shot 6: Jarak=5.17, Desnivel=0.00, Fator=192, Wind=8, Sudut=45.0, Power=1.858760121
Shot 7: Jarak=5.17, Desnivel=0.00, Fator=224, Wind=2, Sudut=45.0, Power=1.797501630
Shot 8: Jarak=4.47, Desnivel=0.00, Fator=224, Wind=3, Sudut=60.0, Power=1.822452855
Shot 9: Jarak=4.68, Desnivel=0.36, Fator=225, Wind=13, Sudut=60.0, Power=2.077925447
Shot 10: Jarak=4.80, Desnivel=0.40, Fator=130, Wind=7, Sudut=60.0, Power=1.902605474
Shot 11: Jarak=9.19, Desnivel=-0.19, Fator=130, Wind=9, Sudut=60.0, Power=2.581128694
Shot 12: Jarak=8.83, Desnivel=-0.11, Fator=130, Wind=7, Sudut=60.0, Power=2.520123072
Shot 13: Jarak=8.71, Desnivel=0.44, Fator=52, Wind=15, Sudut=60.0, Power=2.186504978
Shot 14: Jarak=4.99, Desnivel=0.00, Fator=22, Wind=0, Sudut=60.0, Power=1.871702182
Shot 15: Jarak=4.74, Desnivel=0.28, Fator=22, Wind=0, Sudut=60.0, Power=1.856139887
Shot 16: Jarak=4.74, Desnivel=0.28, Fator=22, Wind=1, Sudut=60.0, Power=1.839275074
Shot 17: Jarak=4.52, Desnivel=0.65, Fator=100, Wind=10, Sudut=60.0, Power=1.793388224
Shot 18: Jarak=5.18, Desnivel=0.79, Fator=195, Wind=9, Sudut=60.0, Power=2.154993659
Shot 19: Jarak=5.78, Desnivel=1.67, Fator=157, Wind=3, Sudut=60.0, Power=2.229899586
Shot 20: Jarak=5.51, Desnivel=1.47, Fator=157, Wind=4, Sudut=60.0, Power=2.170793554
Shot 1: Jarak=6.62, Desnivel=-2.03, Fator=15, Wind=19, Sudut=70.0, Power=1.770585039
Shot 2: Jarak=6.57, Desnivel=-2.08, Fator=21, Wind=20, Sudut=60.0, Power=1.542325868
Shot 3: Jarak=6.60, Desnivel=-2.37, Fator=21, Wind=20, Sudut=60.0, Power=1.516076204
Shot 4: Jarak=6.60, Desnivel=-2.37, Fator=286, Wind=24, Sudut=60.0, Power=2.036439886
Shot 5: Jarak=4.62, Desnivel=1.97, Fator=60, Wind=19, Sudut=57.0, Power=1.828847778
Shot 6: Jarak=3.65, Desnivel=2.05, Fator=60, Wind=20, Sudut=57.0, Power=1.748938583
Shot 7: Jarak=3.52, Desnivel=1.92, Fator=60, Wind=19, Sudut=70.0, Power=1.733258961
Shot 8: Jarak=3.52, Desnivel=1.92, Fator=60, Wind=18, Sudut=70.0, Power=1.748550563
Shot 9: Jarak=3.52, Desnivel=1.77, Fator=60, Wind=19, Sudut=70.0, Power=1.709610109
Shot 10: Jarak=3.52, Desnivel=1.77, Fator=60, Wind=18, Sudut=70.0, Power=1.725136575
